"Date";"Time (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressure Ins. (hPa)";"Pressure Max. (hPa)";"Pressure Min. (hPa)";"Wind Speed (m/s)";"Wind Dir. (m/s)";"Raj. Vento (m/s)";"Radiation (KJ/m²)";"Rain (mm)"
"01/03/2026";"0000";"25,5";"25,8";"25,4";"";"";"";"";"";"";"1011,9";"1011,9";"1011,4";"2,7";"198,0";"6,0";"";"0,0"
"01/03/2026";"0100";"25,8";"25,8";"25,5";"";"";"";"";"";"";"1012,2";"1012,2";"1011,8";"2,2";"191,0";"6,3";"";"0,0"
"01/03/2026";"0200";"25,5";"25,9";"25,4";"";"";"";"";"";"";"1012,1";"1012,2";"1012,0";"1,7";"185,0";"5,6";"";"0,0"
"01/03/2026";"0300";"25,4";"25,6";"25,3";"";"";"";"";"";"";"1011,7";"1012,1";"1011,7";"2,3";"212,0";"5,7";"";"0,0"
"01/03/2026";"0400";"24,0";"25,4";"24,0";"";"";"";"";"";"";"1011,1";"1011,7";"1011,1";"0,9";"275,0";"5,1";"";"0,0"
"01/03/2026";"0500";"23,2";"24,0";"23,2";"";"";"";"";"";"";"1010,6";"1011,1";"1010,6";"0,7";"248,0";"4,6";"";"0,0"
"01/03/2026";"0600";"23,2";"23,3";"23,0";"";"";"";"";"";"";"1010,5";"1010,6";"1010,3";"1,1";"281,0";"3,1";"";"0,0"
"01/03/2026";"0700";"23,5";"23,5";"23,2";"";"";"";"";"";"";"1010,5";"1010,6";"1010,4";"0,9";"240,0";"3,3";"";"0,0"
"01/03/2026";"0800";"23,0";"23,5";"22,9";"";"";"";"";"";"";"1010,6";"1010,6";"1010,4";"0,7";"265,0";"2,9";"";"0,0"
"01/03/2026";"0900";"22,8";"23,0";"22,7";"";"";"";"";"";"";"1011,0";"1011,0";"1010,6";"1,2";"278,0";"4,1";"1,80";"0,0"
"01/03/2026";"1000";"22,9";"22,9";"22,6";"";"";"";"";"";"";"1011,5";"1011,5";"1011,0";"1,3";"306,0";"3,4";"163,50";"0,0"
"01/03/2026";"1100";"24,2";"24,9";"22,9";"";"";"";"";"";"";"1012,1";"1012,1";"1011,5";"1,5";"312,0";"4,8";"1020,20";"0,0"
"01/03/2026";"1200";"24,4";"24,9";"23,9";"";"";"";"";"";"";"1012,3";"1012,3";"1012,1";"1,1";"324,0";"4,2";"1110,80";"0,0"
"01/03/2026";"1300";"26,1";"26,8";"24,4";"";"";"";"";"";"";"1012,3";"1012,4";"1012,3";"1,2";"316,0";"3,7";"2430,70";"0,0"
"01/03/2026";"1400";"27,1";"27,3";"25,8";"";"";"";"";"";"";"1012,0";"1012,3";"1012,0";"2,9";"204,0";"6,7";"1552,70";"0,0"
"01/03/2026";"1500";"27,5";"28,8";"27,1";"";"";"";"";"";"";"1011,8";"1012,0";"1011,7";"4,3";"210,0";"8,8";"3454,20";"0,0"
"01/03/2026";"1600";"23,8";"27,6";"23,6";"";"";"";"";"";"";"1011,8";"1012,0";"1011,7";"3,5";"210,0";"8,8";"1241,70";"3,0"
"01/03/2026";"1700";"26,0";"26,2";"23,5";"";"";"";"";"";"";"1011,2";"1011,9";"1011,2";"2,9";"200,0";"6,6";"1635,30";"0,2"
"01/03/2026";"1800";"23,4";"26,0";"23,4";"";"";"";"";"";"";"1011,2";"1011,2";"1010,9";"3,1";"185,0";"8,0";"1151,70";"0,6"
"01/03/2026";"1900";"23,5";"23,8";"22,5";"";"";"";"";"";"";"1011,1";"1011,2";"1010,9";"0,8";"266,0";"8,0";"549,90";"0,2"
"01/03/2026";"2000";"24,6";"24,6";"23,4";"";"";"";"";"";"";"1011,2";"1011,3";"1011,1";"1,1";"151,0";"7,4";"473,40";"0,2"
"01/03/2026";"2100";"24,8";"24,8";"24,5";"";"";"";"";"";"";"1011,4";"1011,4";"1011,1";"0,6";"259,0";"2,6";"262,50";"0,0"
"01/03/2026";"2200";"24,2";"24,9";"24,1";"";"";"";"";"";"";"1011,9";"1011,9";"1011,4";"1,8";"10,0";"3,8";"20,50";"0,0"
"01/03/2026";"2300";"23,6";"24,1";"23,6";"";"";"";"";"";"";"1012,3";"1012,3";"1011,9";"0,6";"61,0";"3,5";"";"0,0"
